smiles,BCF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,BAF,BMF,group
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,-1.7,,,training
COP(=O)(NC(C)=O)SC,-1.38,,,training
COCc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1,-1,,,training
COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,-1,,,training
N=C(N)N,-1,,,test
Nc1nc(N)nc(Nc2nc(N)nc(N)n2)n1,-1,,,training
O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2cc(O)ccc2c1,-1,,,training
COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2CCC(F)(F)F)n1,-0.89,,,training
O=c1[nH]c(=O)[nH]c(=O)[nH]1,-0.83,,,training
CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,-0.75,,,test
Cc1ccccc1S(=O)(=O)[O-],-0.7,,,training
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,-0.7,,,valid
CC(O)CN(CC(C)O)CC(C)O,-0.67,,,training
Cc1c(NC(=O)C(C)Br)c(=O)n(-c2ccccc2)n1C,-0.53,,,training
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,-0.53,,,test
Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C1=NOCC1,-0.52,,,training
CCC[N+](CCC)(CCC)CCC,-0.52,,,training
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,-0.52,,,training
COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)[O-])c1,-0.52,,,training
OCCO,-0.5,,,test
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1=O,-0.49,,,training
O=c1ccc(=O)[nH][nH]1,-0.45,,,training
Cc1ccccc1S(=O)(=O)O,-0.44,,,training
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,-0.44,,,valid
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,-0.43,,,test
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,-0.43,,,training
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.42,,,training
C[N+](C)(C)Cc1ccccc1,-0.41,,,training
CC(C)OC(=O)C(Cl)C(=O)OC(C)C,-0.41,,,training
CCCCO,-0.4,,,test
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-0.4,,,training
O=C(O)C1(C(=O)Nc2ccc(Cl)cc2Cl)CC1,-0.4,,,training
Oc1nc(O)nc(O)n1,-0.39,,,training
CC(=O)Nc1ccc(S(=O)(=O)[O-])cc1,-0.37,,,training
CCCCc1ccc2ccccc2c1S(=O)(=O)O,-0.36,,,test
NNS(=O)(=O)c1ccc(Oc2ccc(S(=O)(=O)NN)cc2)cc1,-0.35,,,training
CC(C)C(O)C(C)(C)CO,-0.34,,,valid
COCCCN,-0.34,,,training
