smiles,group
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,training
COP(=O)(NC(C)=O)SC,training
COCc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1,training
COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,training
N=C(N)N,test
Nc1nc(N)nc(Nc2nc(N)nc(N)n2)n1,training
O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2cc(O)ccc2c1,training
COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2CCC(F)(F)F)n1,training
O=c1[nH]c(=O)[nH]c(=O)[nH]1,training
CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,test
Cc1ccccc1S(=O)(=O)[O-],training
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,valid
CC(O)CN(CC(C)O)CC(C)O,training
Cc1c(NC(=O)C(C)Br)c(=O)n(-c2ccccc2)n1C,training
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,test
Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C1=NOCC1,training
CCC[N+](CCC)(CCC)CCC,training
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,training
COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)[O-])c1,training
OCCO,test
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1=O,training
O=c1ccc(=O)[nH][nH]1,training
Cc1ccccc1S(=O)(=O)O,training
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,valid
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,test
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,training
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,training
C[N+](C)(C)Cc1ccccc1,training
CC(C)OC(=O)C(Cl)C(=O)OC(C)C,training
CCCCO,test
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,training
O=C(O)C1(C(=O)Nc2ccc(Cl)cc2Cl)CC1,training
Oc1nc(O)nc(O)n1,training
CC(=O)Nc1ccc(S(=O)(=O)[O-])cc1,training
CCCCc1ccc2ccccc2c1S(=O)(=O)O,test
NNS(=O)(=O)c1ccc(Oc2ccc(S(=O)(=O)NN)cc2)cc1,training
CC(C)C(O)C(C)(C)CO,valid
COCCCN,training
Nc1c(Cl)cc(-c2cc(Cl)c(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,training
CN(C)P(=O)(N(C)C)N(C)C,test
O=C(O)c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1N=Nc1ccc(S(=O)(=O)O)cc1,training
C1COCCO1,training
CCCCCCO,training
COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)O)c1,training
COP(=O)(OC)OC=C(Cl)Cl,test
C1CCC2=NCCCN2CC1,training
CCN(CC)c1cc2[o+]c3cc(N(CC)CC)c(C)cc3c(-c3ccc(S(=O)(=O)O)cc3S(=O)(=O)O)c2cc1C,training
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1,training
O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,valid
CC(C)(C)OCCO,test
CCCCOCCO,training
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,training
Nc1ccc(S(=O)(=O)O)cc1,training
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,training
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,test
O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,training
N#CCCNCCC#N,training
CNC1CCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1,training
O=S(=O)(O)c1cc(S(=O)(=O)O)c2cc(O)ccc2c1,training
CCCCCCCCCCCCSP(=O)(SCCCCCCCCCCCC)SCCCCCCCCCCCC,test
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,training
Nc1cccc(N(CCO)CCO)c1,valid
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,training
CCN=C=NCCCN(C)C,training
