BAF,BMF,group,BAF,BMF,group,BAF,BMF,group
0.9688,0.9428,training,0.8748,0.839,valid,0.7703,0.8914,test
0.9656,0.9529,training,0.9012,0.8125,valid,0.7696,0.8852,test
0.9834,0.9368,training,0.9067,0.8321,valid,0.7975,0.896,test
0.956,0.8861,training,0.8287,0.8311,valid,0.731,0.8765,test
0.9517,0.9008,training,0.8513,0.8554,valid,0.7901,0.9038,test
0.9753,0.9311,training,0.841,0.877,valid,0.8164,0.9049,test
0.9788,0.9134,training,0.8665,0.854,valid,0.8133,0.9047,test
0.9781,0.9305,training,0.8544,0.876,valid,0.7935,0.9121,test
0.9666,0.9312,training,0.8659,0.8195,valid,0.8072,0.8844,test
0.9809,0.943,training,0.8984,0.8446,valid,0.8327,0.9139,test
