BCF,BAF,BMF,group,BCF,BAF,BMF,group,BCF,BAF,BMF,group
0.8423,0.9454,0.9115,training,0.7644,0.8374,0.9181,valid,0.6868,0.7814,0.7226,test
0.8395,0.9453,0.9153,training,0.7636,0.839,0.916,valid,0.6979,0.7745,0.7299,test
0.8215,0.9292,0.9105,training,0.7575,0.8363,0.9097,valid,0.697,0.7849,0.7406,test
0.8419,0.958,0.9215,training,0.7638,0.8553,0.9126,valid,0.6954,0.7765,0.7556,test
0.8528,0.9574,0.9199,training,0.7596,0.8609,0.9304,valid,0.6853,0.7905,0.7489,test
0.8337,0.9567,0.9179,training,0.7743,0.852,0.9239,valid,0.6889,0.8067,0.7468,test
0.8492,0.9622,0.9236,training,0.7669,0.8606,0.9268,valid,0.6844,0.7984,0.7482,test
0.8259,0.9492,0.9035,training,0.743,0.8457,0.9254,valid,0.6779,0.7778,0.716,test
0.8293,0.9478,0.9065,training,0.7636,0.8281,0.9159,valid,0.6879,0.7896,0.7033,test
0.8325,0.9565,0.9097,training,0.7552,0.8434,0.9234,valid,0.6887,0.8123,0.7059,test
